,address,postcode,state,country,property_valuation
1999,32 Sutteridge Trail,2470,New South Wales,Australia,1
3529,3605 Vidon Hill,3305,Victoria,Australia,1
134,215 Lindbergh Trail,4401,Queensland,Australia,1
2442,9346 Sunfield Plaza,2671,New South Wales,Australia,1
2455,40 Ilene Drive,3690,Victoria,Australia,1
2461,188 Carberry Point,4650,Queensland,Australia,1
883,89 Monument Place,4720,Queensland,Australia,1
2480,1 Forster Junction,2880,New South Wales,Australia,1
2502,60 Banding Terrace,2880,New South Wales,Australia,1
858,938 Nova Junction,3623,Victoria,Australia,1
834,6841 Dawn Drive,2880,New South Wales,Australia,1
2556,67 Lerdahl Parkway,4670,Queensland,Australia,1
3740,79 Crescent Oaks Court,2806,New South Wales,Australia,1
2575,63785 Anthes Circle,3260,Victoria,Australia,1
3735,88987 Dexter Park,2806,New South Wales,Australia,1
2600,75688 Maple Court,3618,Victoria,Australia,1
2617,0 Erie Lane,4405,Queensland,Australia,1
2628,1945 Loomis Alley,2871,New South Wales,Australia,1
2641,40 Veith Circle,4701,Queensland,Australia,1
760,20554 Orin Place,3630,Victoria,Australia,1
759,36 Helena Drive,4305,Queensland,Australia,1
2704,6418 Sachs Trail,2810,New South Wales,Australia,1
948,97 Aberg Pass,4720,Queensland,Australia,1
714,14254 Hallows Parkway,4615,Queensland,Australia,1
128,19392 7th Trail,4744,Queensland,Australia,1
960,5 Hintze Hill,2641,New South Wales,Australia,1
3817,2 Transport Plaza,2658,New South Wales,Australia,1
3812,7681 Waywood Alley,3860,Victoria,Australia,1
2213,3468 Rigney Place,3505,Victoria,Australia,1
2227,95 Riverside Way,2640,New South Wales,Australia,1
3808,22171 Bayside Parkway,2880,New South Wales,Australia,1
2234,48 Straubel Court,2400,New South Wales,Australia,1
2240,863 Crescent Oaks Hill,4215,Queensland,Australia,1
2245,9248 Ludington Circle,2714,New South Wales,Australia,1
110,8194 Sachtjen Drive,3844,Victoria,Australia,1
2250,4 Mallory Hill,2880,New South Wales,Australia,1
